Question,Answer
Who is Nic Jackson from HashiCorp?,"Nic Jackson is a developer advocate, author, and speaker who specializes in microservices and cloud native technologies."
Who is Albert Einstein?,"Theoretical physicist, developed theory of relativity, E=mc², Nobel Prize winner."
Who is Marie Curie?,"Pioneering physicist and chemist, discovered radioactivity, two Nobel Prizes."
Who is Leonardo da Vinci?,"Renaissance artist, inventor, scientist. Painted Mona Lisa, The Last Supper."
Who is William Shakespeare?,"English playwright and poet. Wrote Hamlet, Romeo and Juliet, Macbeth."
Who is Mozart?,"Austrian composer, child prodigy, wrote operas, symphonies, concertos."
Who is Beethoven?,"German composer, bridged Classical and Romantic eras, famous for 9 symphonies."
Who is Michelangelo?,"Italian sculptor, painter, architect. Sistine Chapel ceiling, David statue."
Who is Isaac Newton?,"Physicist, mathematician, laws of motion and gravity, developed calculus."
Who is Charles Darwin?,"Naturalist, theory of evolution by natural selection."
Who is Jane Austen?,"English novelist, social commentary, wrote Pride and Prejudice, Emma."
Who is Vincent van Gogh?,"Dutch post-impressionist painter, Starry Night, Sunflowers."
Who is Pablo Picasso?,"Spanish artist, co-founder of Cubism, prolific painter, sculptor."
Who is Martin Luther King Jr.?,"American civil rights leader, advocate for nonviolence, ""I Have a Dream"" speech."
Who is Mahatma Gandhi?,"Indian leader, nonviolent resistance, led India to independence."
Who is Nelson Mandela?,"South African anti-apartheid leader, President of South Africa."
Who is Mother Teresa?,"Catholic nun, missionary, helped the poor and sick, Nobel Peace Prize."
Who is Winston Churchill?,"British Prime Minister during WWII, known for speeches and leadership."
Who is Abraham Lincoln?,"16th US President, led Union in Civil War, abolished slavery."
Who is George Washington?,"1st US President, Commander-in-Chief of Continental Army in American Revolution."
Who is Thomas Edison?,"American inventor, developed light bulb, phonograph, motion picture camera."
Who is Alexander Graham Bell?,"Inventor of telephone, teacher of the deaf."
Who is Nikola Tesla?,"Inventor, electrical engineer, AC current, induction motor."
Who is Marie Antoinette?,"Queen of France, executed during French Revolution, ""Let them eat cake."""
Who is Cleopatra?,"Last active ruler of Ptolemaic Egypt, relationships with Julius Caesar and Mark Antony."
Who is Queen Elizabeth I?,"Queen of England, ""Virgin Queen"", defeated Spanish Armada."
Who is Queen Victoria?,"Queen of UK, longest reign, Victorian era."
Who is Julius Caesar?,"Roman general and statesman, assassinated on the Ides of March."
Who is Genghis Khan?,"Founder of Mongol Empire, conquered vast territories."
Who is Napoleon Bonaparte?,"French military leader and emperor, conquered much of Europe."
Who is Joan of Arc?,"French heroine, led army against English in Hundred Years' War."
Who is Christopher Columbus?,"Italian explorer, sailed to Americas under Spanish flag."
Who is Marco Polo?,"Venetian merchant and explorer, traveled to Asia via Silk Road."
Who is Galileo Galilei?,"Italian astronomer, physicist, supported heliocentrism."
